class,trainset,testset,total
人参果,136,33,169
佛手瓜,124,30,154
哈密瓜,144,35,179
圣女果,144,36,180
山楂,155,38,193
山竹,136,33,169
无花果,151,37,188
木瓜,147,36,183
李子,147,36,183
杏,148,37,185
杨桃,152,37,189
杨梅,140,34,174
枇杷,142,35,177
枣,154,38,192
柚子,148,36,184
柠檬,116,29,145
柿子,148,37,185
树莓,144,36,180
桂圆,152,38,190
桑葚,145,36,181
梨,149,37,186
椰子,152,37,189
榴莲,146,36,182
樱桃,130,32,162
橘子,139,34,173
毛丹,122,30,152
水蜜桃,136,33,169
沃柑,152,38,190
沙果,144,36,180
沙棘,142,35,177
油桃,152,38,190
牛油果,112,27,139
猕猴桃,151,37,188
甘蔗,153,38,191
甜瓜-伊丽莎白,71,17,88
甜瓜-白,63,15,78
甜瓜-绿,32,7,39
甜瓜-金,41,10,51
番石榴-百,100,25,125
番石榴-红,120,30,150
白兰瓜,96,23,119
白心火龙果,144,35,179
白萝卜,148,36,184
百香果,141,35,176
石榴,146,36,182
砂糖橘,138,34,172
粑粑柑,148,36,184
红心火龙果,153,38,191
红苹果,142,35,177
羊奶果,154,38,192
羊角蜜,151,37,188
胡萝卜,143,35,178
脐橙,146,36,182
腰果,156,39,195
芒果,126,31,157
芦柑,138,34,172
草莓,152,37,189
荔枝,148,37,185
莲雾,148,37,185
菠萝,154,38,192
菠萝莓,85,21,106
菠萝蜜,154,38,192
葡萄-白,124,31,155
葡萄-红,152,37,189
蓝莓,152,37,189
蛇皮果,132,33,165
蟠桃,136,34,170
血橙,145,36,181
西柚,142,35,177
西梅,152,38,190
西瓜,144,35,179
西红柿,148,36,184
车厘子,126,31,157
酸角,150,37,187
金桔,137,34,171
青柠,111,27,138
青苹果,152,37,189
香橼,100,25,125
香蕉,144,35,179
黄桃,150,37,187
黑莓,142,35,177
