epoch,batch,train_loss,train_accuracy
0,0,4.4924994,0.09375
1,1,4.6526575,0.03125
1,2,4.279108,0.09375
1,3,4.8140397,0.0
1,4,4.8445206,0.0
1,5,4.864993,0.03125
1,6,4.519572,0.0625
1,7,4.8019094,0.0
1,8,4.30934,0.0625
1,9,4.672649,0.03125
1,10,4.589213,0.03125
1,11,4.59805,0.0
1,12,4.7591953,0.0625
1,13,4.615532,0.03125
1,14,4.601318,0.0
1,15,4.786015,0.0
1,16,4.802021,0.03125
1,17,4.077289,0.0625
1,18,4.2287073,0.03125
1,19,4.547947,0.09375
1,20,4.560104,0.03125
1,21,4.311283,0.03125
1,22,4.2403984,0.0
1,23,4.3857217,0.03125
1,24,4.296443,0.03125
1,25,4.1984854,0.0625
1,26,4.063722,0.15625
1,27,4.223516,0.125
1,28,4.10009,0.0625
1,29,4.00196,0.09375
1,30,4.2228684,0.03125
1,31,4.0204277,0.15625
1,32,4.0806966,0.0625
1,33,4.0077996,0.03125
1,34,3.9133136,0.15625
1,35,3.742161,0.25
1,36,4.0144734,0.125
1,37,3.9729407,0.09375
1,38,3.8786147,0.125
1,39,3.804571,0.125
1,40,4.0970583,0.03125
1,41,3.9656465,0.15625
1,42,3.8695767,0.15625
1,43,4.0958905,0.09375
1,44,3.579145,0.21875
1,45,4.0402493,0.15625
1,46,3.9793186,0.125
1,47,4.012005,0.125
1,48,3.7425265,0.25
1,49,3.689543,0.21875
1,50,3.6613326,0.1875
1,51,3.6194437,0.21875
1,52,3.7461536,0.125
1,53,3.512831,0.21875
1,54,3.696232,0.28125
1,55,3.6033707,0.28125
1,56,3.6193492,0.125
1,57,3.6384299,0.21875
1,58,3.4654515,0.25
1,59,3.5112398,0.21875
1,60,3.2903738,0.375
1,61,3.299507,0.3125
1,62,3.4880638,0.15625
1,63,3.3408756,0.28125
1,64,3.5119274,0.3125
1,65,3.547235,0.28125
1,66,3.1008596,0.40625
1,67,3.3848333,0.15625
1,68,3.3591821,0.25
1,69,3.5388608,0.21875
1,70,3.3981884,0.3125
1,71,3.350721,0.25
1,72,3.6536808,0.1875
1,73,3.263618,0.28125
1,74,3.4589493,0.28125
1,75,3.0807045,0.3125
1,76,3.217416,0.28125
1,77,3.060449,0.40625
1,78,3.1882308,0.28125
1,79,3.2961864,0.25
1,80,3.1979792,0.375
1,81,3.284634,0.34375
1,82,3.3485901,0.25
1,83,2.8528345,0.3125
1,84,3.169113,0.28125
1,85,3.52785,0.15625
1,86,3.403628,0.28125
1,87,3.1838882,0.40625
1,88,3.0148537,0.28125
1,89,3.1633503,0.28125
1,90,3.1441002,0.375
1,91,3.26141,0.28125
1,92,3.4377794,0.28125
1,93,3.4396102,0.21875
1,94,3.1932895,0.125
1,95,3.4224992,0.1875
1,96,3.0411716,0.3125
1,97,3.1458037,0.25
1,98,3.147218,0.21875
1,99,3.2865121,0.21875
1,100,3.1455395,0.28125
1,101,2.850958,0.46875
1,102,2.9250152,0.375
1,103,2.882838,0.4375
1,104,3.1599994,0.375
1,105,3.1241515,0.3125
1,106,3.0629556,0.375
1,107,3.059975,0.28125
1,108,2.721434,0.40625
1,109,2.8487208,0.40625
1,110,3.1247826,0.375
1,111,3.2924998,0.375
1,112,2.9457836,0.40625
1,113,3.1059117,0.3125
1,114,3.0202029,0.34375
1,115,3.1402292,0.28125
1,116,3.078336,0.40625
1,117,3.050925,0.3125
1,118,3.253685,0.34375
1,119,2.9185457,0.40625
1,120,3.1124744,0.21875
1,121,2.933567,0.4375
1,122,2.432047,0.5625
1,123,2.9750676,0.40625
1,124,2.4968104,0.5
1,125,3.0649655,0.25
1,126,3.0830603,0.28125
1,127,3.0725906,0.25
1,128,2.8725147,0.28125
1,129,3.0637877,0.3125
1,130,2.8593292,0.34375
1,131,2.8329282,0.46875
1,132,2.6520586,0.46875
1,133,2.9063768,0.3125
1,134,2.7213593,0.375
1,135,2.7130346,0.375
1,136,2.5865767,0.4375
1,137,2.982719,0.34375
1,138,3.3384192,0.25
1,139,2.6479847,0.4375
1,140,2.5811582,0.40625
1,141,2.2998319,0.625
1,142,2.5948315,0.4375
1,143,2.814472,0.4375
1,144,3.2092912,0.21875
1,145,2.7667615,0.28125
1,146,2.5087895,0.34375
1,147,2.7184162,0.34375
1,148,2.632393,0.375
1,149,2.6093988,0.4375
1,150,2.8558893,0.34375
1,151,2.5252585,0.53125
1,152,2.6410356,0.34375
1,153,2.7204843,0.4375
1,154,2.3819072,0.59375
1,155,2.6142151,0.4375
1,156,2.664693,0.5
1,157,2.6154401,0.4375
1,158,2.3945663,0.46875
1,159,2.5816555,0.375
1,160,2.3837576,0.5
1,161,2.8444855,0.28125
1,162,2.6428294,0.375
1,163,2.5880017,0.46875
1,164,2.568232,0.4375
1,165,2.5439434,0.46875
1,166,2.6249926,0.4375
1,167,2.383466,0.46875
1,168,2.2851481,0.4375
1,169,2.5318985,0.40625
1,170,2.3636584,0.5
1,171,2.5147603,0.4375
1,172,2.7918947,0.34375
1,173,2.6843827,0.34375
1,174,2.696261,0.3125
1,175,2.7047734,0.375
1,176,2.4770048,0.5
1,177,2.562764,0.40625
1,178,2.8120384,0.34375
1,179,1.9479724,0.59375
1,180,2.717658,0.5
1,181,1.974936,0.59375
1,182,2.7695525,0.28125
1,183,2.642232,0.40625
1,184,3.1155891,0.21875
1,185,2.1990209,0.46875
1,186,2.5526872,0.46875
1,187,2.577831,0.4375
1,188,2.0449705,0.65625
1,189,2.4927762,0.375
1,190,2.4037256,0.40625
1,191,2.436383,0.53125
1,192,2.1526287,0.5625
1,193,2.5436428,0.40625
1,194,2.3385377,0.46875
1,195,2.5501535,0.4375
1,196,2.5093184,0.40625
1,197,2.2938375,0.5
1,198,2.1578343,0.53125
1,199,2.2929375,0.53125
1,200,2.5874312,0.4375
1,201,2.5848393,0.40625
1,202,2.4906802,0.46875
1,203,1.9780008,0.46875
1,204,2.5420291,0.4375
1,205,2.4653735,0.46875
1,206,2.042937,0.5
1,207,2.1988065,0.4375
1,208,2.2954195,0.46875
1,209,2.4230065,0.46875
1,210,2.7911997,0.28125
1,211,2.4179788,0.4375
1,212,2.8038507,0.25
1,213,2.9542296,0.375
1,214,2.3908732,0.40625
1,215,2.7247043,0.40625
1,216,2.5428538,0.40625
1,217,2.3044412,0.5
1,218,2.1230268,0.46875
1,219,2.5380702,0.34375
1,220,2.1681309,0.53125
1,221,2.0355113,0.5625
1,222,1.8203464,0.5625
1,223,2.8161256,0.3125
1,224,1.9546745,0.59375
1,225,2.0715888,0.625
1,226,2.3974137,0.4375
1,227,2.2890158,0.5
1,228,2.1964061,0.46875
1,229,2.2549841,0.46875
1,230,2.3180676,0.46875
1,231,2.4327335,0.40625
1,232,2.3815894,0.5
1,233,2.4414287,0.46875
1,234,2.6639142,0.34375
1,235,2.0206416,0.59375
1,236,1.790486,0.5625
1,237,2.15653,0.53125
1,238,2.229004,0.4375
1,239,2.4414327,0.4375
1,240,1.8203975,0.46875
1,241,2.6670918,0.34375
1,242,1.549965,0.78125
1,243,1.7818155,0.65625
1,244,1.9945916,0.59375
1,245,2.186616,0.46875
1,246,2.1462996,0.53125
1,247,2.0552006,0.5625
1,248,1.9849379,0.53125
1,249,2.0318608,0.46875
1,250,1.9787812,0.53125
1,251,2.2276437,0.53125
1,252,1.9134605,0.5
1,253,2.155025,0.46875
1,254,2.1183784,0.46875
1,255,2.0295722,0.65625
1,256,2.1027606,0.625
1,257,2.2480881,0.40625
1,258,2.4343224,0.34375
1,259,2.1562026,0.5
1,260,2.0210464,0.5
1,261,1.989035,0.5625
1,262,2.238232,0.4375
1,263,2.2472157,0.46875
1,264,2.1605446,0.53125
1,265,1.6649354,0.6875
1,266,2.1048093,0.5625
1,267,2.283,0.46875
1,268,2.0737238,0.53125
1,269,1.8928009,0.53125
1,270,1.9003329,0.53125
1,271,2.0741944,0.46875
1,272,1.9840733,0.5625
1,273,2.1802301,0.5625
1,274,2.091821,0.46875
1,275,2.107678,0.53125
1,276,2.2399907,0.5625
1,277,2.1135068,0.59375
1,278,2.7009237,0.34375
1,279,2.1387012,0.5
1,280,1.8833869,0.46875
1,281,2.2916994,0.40625
1,282,1.9695234,0.65625
1,283,2.0415394,0.5625
1,284,2.0579562,0.4375
1,285,2.1965876,0.46875
1,286,2.102266,0.53125
1,287,1.9819798,0.5625
1,288,2.4089167,0.40625
1,289,2.0592682,0.53125
1,290,2.6994216,0.34375
1,291,1.9568883,0.53125
1,292,2.3126583,0.40625
1,293,1.8336847,0.625
1,294,1.9400928,0.6875
1,295,1.7374215,0.59375
1,296,2.1256554,0.5
1,297,1.6161413,0.625
1,298,1.9033662,0.5
1,299,2.0628378,0.53125
1,300,1.7909086,0.625
1,301,1.954913,0.5625
1,302,2.164164,0.59375
1,303,2.045043,0.5
1,304,1.9705598,0.46875
1,305,1.4954854,0.71875
1,306,2.1340392,0.5
1,307,1.9806901,0.46875
1,308,1.8070159,0.625
1,309,1.8342811,0.5
1,310,1.9488163,0.53125
1,311,1.8000627,0.5625
1,312,1.9360338,0.5625
1,313,2.0487134,0.53125
1,314,2.168372,0.5
1,315,1.6185118,0.625
1,316,1.5005057,0.65625
1,317,2.05243,0.46875
1,318,1.8290646,0.5625
1,319,1.7012239,0.71875
1,320,2.3549466,0.375
1,321,1.7901672,0.6875
1,322,1.7472355,0.5625
1,323,1.8003389,0.53125
1,324,1.8914713,0.5625
1,325,2.233924,0.40625
1,326,2.4335175,0.34375
1,327,1.9060901,0.5625
1,328,1.423168,0.75
1,329,2.11285,0.46875
1,330,2.182675,0.5
1,331,2.1610713,0.5625
1,332,2.2409563,0.5
1,333,1.8062937,0.65625
1,334,2.2555113,0.4375
1,335,1.7666883,0.46875
1,336,1.8487167,0.53125
1,337,1.6347189,0.65625
1,338,1.701221,0.5625
1,339,2.2367754,0.46875
1,340,1.9326468,0.59375
1,341,1.8717482,0.59375
1,342,1.6598395,0.71875
1,343,1.9793785,0.59375
1,344,1.7993753,0.5625
1,345,1.849923,0.5
1,346,1.5895574,0.65625
1,347,1.9838818,0.5625
1,348,1.8140492,0.5
1,349,2.0042017,0.53125
1,350,1.9704453,0.5
1,351,1.8614674,0.55
2,352,1.3580632,0.75
2,353,1.6994631,0.65625
2,354,1.9942728,0.59375
2,355,2.0438905,0.625
2,356,2.0564733,0.4375
2,357,2.1254945,0.375
2,358,1.9617093,0.53125
2,359,2.2483332,0.4375
2,360,1.5462264,0.625
2,361,2.061944,0.5
2,362,1.708794,0.59375
2,363,1.9147462,0.46875
2,364,1.4936612,0.6875
2,365,1.7118493,0.5625
2,366,2.091405,0.53125
2,367,1.9556715,0.59375
2,368,2.026365,0.5
2,369,1.5365695,0.6875
2,370,1.7490991,0.59375
2,371,1.860375,0.59375
2,372,2.1915793,0.4375
2,373,1.735384,0.625
2,374,1.2581022,0.71875
2,375,1.5806234,0.6875
2,376,1.8813448,0.625
2,377,1.8120408,0.53125
2,378,1.5877908,0.59375
2,379,1.6806134,0.5625
2,380,1.7501727,0.59375
2,381,2.1192727,0.46875
2,382,1.8126363,0.5625
2,383,1.558662,0.5625
2,384,2.1675024,0.5625
2,385,1.8866397,0.5625
2,386,1.6922406,0.53125
2,387,1.6299661,0.65625
2,388,1.6680025,0.625
2,389,1.7016963,0.625
2,390,1.6285937,0.5625
2,391,1.961013,0.4375
2,392,2.087514,0.4375
2,393,1.6661749,0.59375
2,394,2.0047889,0.4375
2,395,1.7810899,0.59375
2,396,1.6964424,0.625
2,397,1.3230456,0.8125
2,398,1.6205131,0.6875
2,399,1.9617311,0.5625
2,400,1.9483657,0.53125
2,401,1.4259148,0.6875
2,402,1.3473719,0.71875
2,403,1.852395,0.625
2,404,1.4512198,0.5625
2,405,1.5926136,0.625
2,406,1.572111,0.6875
2,407,1.872471,0.5
2,408,2.036354,0.59375
2,409,1.6556337,0.5625
2,410,1.5863287,0.71875
2,411,1.5491042,0.65625
2,412,1.7302346,0.53125
2,413,1.7065684,0.625
2,414,1.7749388,0.53125
2,415,1.5667055,0.59375
2,416,1.8550824,0.5
2,417,1.7414484,0.59375
2,418,1.6630168,0.59375
2,419,1.6879833,0.625
2,420,1.5320413,0.6875
2,421,1.8858628,0.53125
2,422,1.72969,0.5
2,423,2.047403,0.4375
2,424,1.2152381,0.8125
2,425,1.535094,0.75
2,426,1.6978363,0.46875
2,427,1.5931449,0.5625
2,428,2.0925858,0.5
2,429,1.2539322,0.6875
2,430,1.6456399,0.625
2,431,1.6171238,0.625
2,432,1.420103,0.71875
2,433,1.867404,0.5
2,434,1.2983426,0.78125
2,435,1.3803513,0.6875
2,436,1.7132629,0.5625
2,437,1.6858132,0.71875
2,438,1.4596418,0.71875
2,439,1.4153496,0.59375
2,440,1.4992539,0.65625
2,441,1.8517512,0.5625
2,442,1.7326306,0.53125
2,443,1.739085,0.53125
2,444,1.5791582,0.6875
2,445,1.2609739,0.75
2,446,1.9629445,0.5
2,447,1.7905494,0.5625
2,448,1.4501163,0.6875
2,449,1.9309869,0.46875
2,450,1.4477336,0.65625
2,451,1.8060943,0.5
2,452,1.592119,0.65625
2,453,1.6067632,0.59375
2,454,1.3552352,0.6875
2,455,1.462834,0.6875
2,456,1.7447958,0.6875
2,457,1.2601701,0.84375
2,458,1.3160944,0.71875
2,459,1.9419497,0.5
2,460,1.8251196,0.53125
2,461,1.807099,0.5625
2,462,1.4564037,0.59375
2,463,1.3329376,0.75
2,464,1.4635288,0.65625
2,465,1.7309937,0.5625
2,466,1.7065274,0.625
2,467,1.6562399,0.53125
2,468,1.4716325,0.6875
2,469,1.8773558,0.5625
2,470,1.906961,0.5625
2,471,1.4205421,0.6875
2,472,1.7916079,0.5
2,473,1.4519744,0.6875
2,474,1.3724248,0.65625
2,475,1.8053524,0.46875
2,476,1.4258167,0.71875
2,477,1.8291638,0.59375
2,478,1.9127133,0.46875
2,479,1.7725794,0.59375
2,480,1.6684023,0.59375
2,481,1.34056,0.6875
2,482,1.6876769,0.5625
2,483,1.3716503,0.6875
2,484,1.607617,0.59375
2,485,1.5674709,0.5625
2,486,1.73733,0.59375
2,487,1.2809838,0.71875
2,488,1.4038726,0.625
2,489,1.9091388,0.46875
2,490,1.864499,0.65625
2,491,1.9822531,0.5625
2,492,1.0946847,0.75
2,493,1.4094884,0.625
2,494,1.5333407,0.625
2,495,1.6845083,0.5625
2,496,2.273387,0.5
2,497,1.3654485,0.65625
2,498,1.850664,0.40625
2,499,1.6227827,0.53125
2,500,1.6311773,0.625
2,501,1.1881114,0.78125
2,502,1.4106869,0.71875
2,503,1.426114,0.65625
2,504,1.4544283,0.6875
2,505,2.1064136,0.4375
2,506,1.4417491,0.6875
2,507,1.8011365,0.5
2,508,1.734422,0.53125
2,509,1.4388027,0.6875
2,510,1.7079785,0.5625
2,511,1.5255513,0.53125
2,512,1.4339836,0.71875
2,513,1.6550456,0.5625
2,514,2.0820062,0.40625
2,515,1.6580546,0.53125
2,516,2.0805633,0.3125
2,517,1.6557058,0.59375
2,518,1.5028352,0.6875
2,519,1.6026701,0.5625
2,520,1.4205016,0.65625
2,521,1.4959862,0.5625
2,522,1.5782324,0.59375
2,523,1.5535028,0.65625
2,524,1.5782146,0.5625
2,525,1.5569131,0.53125
2,526,1.9183557,0.53125
2,527,1.368967,0.5625
2,528,1.5228506,0.59375
2,529,1.7711697,0.5625
2,530,1.8261195,0.59375
2,531,1.4109104,0.6875
2,532,1.6325756,0.53125
2,533,1.2609063,0.6875
2,534,1.5106117,0.59375
2,535,1.4705669,0.65625
2,536,1.1966692,0.6875
2,537,1.6590085,0.53125
2,538,1.4608006,0.65625
2,539,1.6705502,0.625
2,540,1.5995244,0.6875
2,541,1.455587,0.59375
2,542,1.551037,0.65625
2,543,1.5695257,0.65625
2,544,1.6291821,0.5
2,545,1.9090357,0.53125
2,546,1.6159432,0.59375
2,547,1.555192,0.65625
