类别,precision,recall,f1-score,support
人参果,0.8529411764705882,0.8055555555555556,0.8285714285714286,36.0
佛手瓜,0.9090909090909091,0.9375,0.923076923076923,32.0
哈密瓜,0.9459459459459459,0.8974358974358975,0.9210526315789475,39.0
圣女果,0.8,0.8205128205128205,0.810126582278481,39.0
山楂,0.6481481481481481,0.8974358974358975,0.7526881720430108,39.0
山竹,0.9,0.9473684210526315,0.9230769230769231,38.0
无花果,0.7115384615384616,0.9487179487179487,0.8131868131868132,39.0
木瓜,1.0,0.8421052631578947,0.9142857142857143,38.0
李子,0.8571428571428571,0.3157894736842105,0.46153846153846156,38.0
杏,0.4918032786885246,0.7692307692307693,0.6,39.0
杨桃,1.0,0.9487179487179487,0.9736842105263158,39.0
杨梅,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
枇杷,0.9629629629629629,0.7027027027027027,0.8125,37.0
枣,0.868421052631579,0.868421052631579,0.868421052631579,38.0
柚子,0.6444444444444445,0.7435897435897436,0.6904761904761906,39.0
柠檬,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
柿子,0.8857142857142857,0.8157894736842105,0.8493150684931505,38.0
树莓,0.7857142857142857,0.8918918918918919,0.8354430379746834,37.0
桂圆,0.8947368421052632,0.8717948717948718,0.8831168831168831,39.0
桑葚,0.8,0.8205128205128205,0.810126582278481,39.0
梨,0.7727272727272727,0.8947368421052632,0.8292682926829269,38.0
椰子,0.8823529411764706,0.7692307692307693,0.8219178082191781,39.0
榴莲,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
樱桃,0.5471698113207547,0.8787878787878788,0.6744186046511628,33.0
橘子,0.782608695652174,0.5,0.6101694915254238,36.0
毛丹,1.0,1.0,1.0,31.0
水蜜桃,0.7560975609756098,0.8857142857142857,0.8157894736842105,35.0
沃柑,0.7058823529411765,0.3076923076923077,0.42857142857142866,39.0
沙果,0.6666666666666666,0.7894736842105263,0.7228915662650601,38.0
沙棘,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
油桃,0.7,0.717948717948718,0.708860759493671,39.0
牛油果,0.9642857142857143,0.9,0.9310344827586207,30.0
猕猴桃,1.0,0.9230769230769231,0.9600000000000001,39.0
甘蔗,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
甜瓜-伊丽莎白,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
甜瓜-白,0.85,1.0,0.9189189189189189,17.0
甜瓜-绿,1.0,0.5,0.6666666666666666,8.0
甜瓜-金,0.8181818181818182,0.9,0.8571428571428572,10.0
番石榴-百,0.84,0.8076923076923077,0.8235294117647058,26.0
番石榴-红,0.7931034482758621,0.7666666666666667,0.7796610169491527,30.0
白兰瓜,0.8235294117647058,0.56,0.6666666666666666,25.0
白心火龙果,1.0,0.8648648648648649,0.927536231884058,37.0
白萝卜,0.9512195121951219,1.0,0.975,39.0
百香果,1.0,0.6216216216216216,0.7666666666666667,37.0
石榴,0.967741935483871,0.7894736842105263,0.8695652173913043,38.0
砂糖橘,0.5,0.8055555555555556,0.6170212765957447,36.0
粑粑柑,0.8947368421052632,0.8947368421052632,0.8947368421052632,38.0
红心火龙果,0.926829268292683,0.9743589743589743,0.9500000000000001,39.0
红苹果,0.8064516129032258,0.7142857142857143,0.7575757575757576,35.0
羊奶果,1.0,0.7948717948717948,0.8857142857142858,39.0
羊角蜜,0.8837209302325582,0.9743589743589743,0.9268292682926831,39.0
胡萝卜,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
脐橙,0.574468085106383,0.7105263157894737,0.6352941176470589,38.0
腰果,1.0,0.925,0.961038961038961,40.0
芒果,0.7105263157894737,0.7941176470588235,0.7499999999999999,34.0
芦柑,0.7027027027027027,0.7222222222222222,0.7123287671232876,36.0
草莓,0.925,0.9487179487179487,0.9367088607594937,39.0
荔枝,0.7608695652173914,0.8974358974358975,0.8235294117647058,39.0
莲雾,0.8333333333333334,0.8974358974358975,0.8641975308641975,39.0
菠萝,0.7708333333333334,0.9487179487179487,0.8505747126436781,39.0
菠萝莓,0.88,1.0,0.9361702127659575,22.0
菠萝蜜,0.9705882352941176,0.8461538461538461,0.9041095890410958,39.0
葡萄-白,0.90625,0.9354838709677419,0.9206349206349206,31.0
葡萄-红,0.9411764705882353,0.8205128205128205,0.8767123287671232,39.0
蓝莓,0.9230769230769231,0.9230769230769231,0.9230769230769231,39.0
蛇皮果,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
蟠桃,1.0,0.4722222222222222,0.6415094339622641,36.0
血橙,0.9354838709677419,0.7837837837837838,0.8529411764705881,37.0
西柚,0.7045454545454546,0.8611111111111112,0.775,36.0
西梅,0.6904761904761905,0.7435897435897436,0.7160493827160495,39.0
