图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,人参果-预测置信度,佛手瓜-预测置信度,哈密瓜-预测置信度,圣女果-预测置信度,山楂-预测置信度,山竹-预测置信度,无花果-预测置信度,木瓜-预测置信度,李子-预测置信度,杏-预测置信度,杨桃-预测置信度,杨梅-预测置信度,枇杷-预测置信度,枣-预测置信度,柚子-预测置信度,柠檬-预测置信度,柿子-预测置信度,树莓-预测置信度,桂圆-预测置信度,桑葚-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,樱桃-预测置信度,橘子-预测置信度,毛丹-预测置信度,水蜜桃-预测置信度,沃柑-预测置信度,沙果-预测置信度,沙棘-预测置信度,油桃-预测置信度,牛油果-预测置信度,猕猴桃-预测置信度,甘蔗-预测置信度,甜瓜-伊丽莎白-预测置信度,甜瓜-白-预测置信度,甜瓜-绿-预测置信度,甜瓜-金-预测置信度,番石榴-百-预测置信度,番石榴-红-预测置信度,白兰瓜-预测置信度,白心火龙果-预测置信度,白萝卜-预测置信度,百香果-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,粑粑柑-预测置信度,红心火龙果-预测置信度,红苹果-预测置信度,羊奶果-预测置信度,羊角蜜-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,腰果-预测置信度,芒果-预测置信度,芦柑-预测置信度,草莓-预测置信度,荔枝-预测置信度,莲雾-预测置信度,菠萝-预测置信度,菠萝莓-预测置信度,菠萝蜜-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,蓝莓-预测置信度,蛇皮果-预测置信度,蟠桃-预测置信度,血橙-预测置信度,西柚-预测置信度,西梅-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,酸角-预测置信度,金桔-预测置信度,青柠-预测置信度,青苹果-预测置信度,香橼-预测置信度,香蕉-预测置信度,黄桃-预测置信度,黑莓-预测置信度
./fruit81_full_split\test\人参果\101.jpg,0,人参果,0,人参果,14,柚子,78,香蕉,True,0.7320601,9.959472e-07,0.008483748,1.4540627e-06,1.5570757e-06,0.0011006875,0.0016780632,1.14904515e-05,6.607212e-05,0.00038523963,1.2827415e-07,2.5971343e-05,0.00013517303,0.00014202035,0.12786658,0.00024505332,0.00012823191,1.4142936e-05,1.111259e-05,5.9029667e-06,0.002190714,0.00069877406,2.1827955e-05,9.603722e-07,1.1073363e-05,6.452813e-07,8.77417e-05,2.9892264e-05,4.966475e-06,1.0602726e-07,2.2567663e-06,0.001020714,1.0535119e-06,7.5002044e-06,0.028834516,0.0004620531,3.82397e-06,0.00018471805,0.00043112462,2.3385035e-05,0.00010893711,2.5941318e-07,0.000108106564,2.5888864e-06,2.8281881e-06,2.6002012e-06,0.0006339969,2.3688642e-07,4.9465958e-05,1.0865653e-08,9.80175e-06,3.5587377e-06,0.00026001965,0.00016366033,0.00082556414,7.0355572e-06,1.4437092e-06,2.9300038e-05,8.181062e-05,0.0019022491,3.3701099e-06,6.6458524e-06,8.607867e-07,6.499577e-08,6.939473e-08,7.7061886e-05,1.1891558e-05,7.410895e-06,2.4085813e-05,6.5901672e-06,0.0010890184,1.3696265e-05,6.5042645e-06,0.00027208848,2.0374405e-06,5.201776e-09,9.201119e-07,9.981826e-05,0.086898446,0.0007910516,0.00011333945
./fruit81_full_split\test\人参果\102.jpg,0,人参果,0,人参果,5,山竹,12,枇杷,True,0.9932221,3.1260315e-06,9.960943e-05,2.846676e-07,2.2453938e-05,0.0018981708,3.1596815e-06,1.9311724e-06,1.5627937e-05,0.0004112949,1.8344325e-07,1.0459765e-06,0.00058150035,0.000329061,0.00022416354,9.130499e-05,0.00017993264,2.2677498e-06,3.6104866e-06,3.0408623e-06,0.0001864207,7.0337724e-06,1.3866654e-06,1.4476813e-06,3.191077e-05,3.9422897e-08,1.8855979e-05,1.1673381e-05,9.0105976e-05,1.1619612e-07,6.55519e-06,2.1215575e-07,7.0173075e-05,7.417572e-07,2.8104385e-05,3.2773107e-05,3.9020117e-05,5.282281e-07,3.777309e-07,9.603695e-05,0.00010241514,1.4210622e-08,4.956918e-07,9.721774e-07,2.5417314e-06,3.0775464e-06,2.2951433e-05,2.3661219e-08,1.9798424e-06,6.729385e-05,0.000104640865,1.0279827e-07,9.337021e-06,0.00048843294,0.00050673046,0.0002310599,8.024275e-06,9.1404e-06,0.00022367346,1.4992163e-07,9.5723e-06,8.411735e-06,9.125441e-07,5.5069413e-06,0.00021204684,6.6212433e-06,1.0186667e-05,2.2481552e-07,3.0838983e-06,1.0221047e-05,2.3885386e-07,1.2887928e-07,2.3707478e-06,6.76369e-05,2.3837532e-05,8.8864596e-08,1.0550417e-05,0.0001154267,1.6753174e-07,1.700291e-06,1.0781575e-05
./fruit81_full_split\test\人参果\107.jpg,0,人参果,1,佛手瓜,0,人参果,21,椰子,True,0.32995203,0.5864352,0.00021871754,3.9957317e-07,9.327845e-05,0.000151122,6.1695115e-05,1.2131122e-05,1.681435e-06,4.5902075e-07,0.00018760214,1.1477621e-05,1.3434685e-06,0.0003960429,0.0135371415,0.0011149547,4.4249873e-06,9.691427e-05,1.1964028e-06,7.4962027e-06,6.731987e-05,0.020477671,7.4280106e-05,1.1660824e-05,6.294501e-05,1.0402962e-07,5.2327637e-06,8.5392713e-07,5.5854326e-07,1.1654865e-09,4.56003e-06,0.0004964086,6.23317e-05,3.6131874e-05,0.00027435916,0.0024404556,7.671347e-05,0.0003245155,0.0014563875,0.0019655614,0.0025429756,1.5146537e-06,0.00035239063,2.6883274e-06,1.3136174e-05,3.2157093e-06,1.0748183e-05,4.328089e-06,0.00010986057,7.0010196e-07,0.0027830745,1.5696361e-06,1.0050261e-06,1.3274488e-05,0.00469196,5.0490144e-06,0.0031013498,6.8611475e-06,0.0013173021,0.000216509,3.3777935e-05,0.0008848419,4.7726604e-05,1.2135646e-07,0.00026937606,9.382997e-06,4.61801e-07,1.0862814e-07,0.00013807832,8.611664e-07,0.0013037294,0.0011697982,4.59023e-05,1.1794859e-05,5.9137765e-06,0.012594458,0.004016332,0.0038064944,0.00012023655,2.2184615e-06,0.00023557142
./fruit81_full_split\test\人参果\112.jpg,0,人参果,77,香橼,0,人参果,79,黄桃,True,0.25757965,1.9844867e-06,0.016481286,7.2031304e-07,4.039879e-06,0.061051372,0.0018779831,0.0006257864,0.025206052,0.060385317,1.2108824e-06,0.00030134624,0.0003685786,0.015035677,0.014270385,6.86808e-05,2.2875722e-06,2.209573e-06,0.010961584,5.0467752e-05,0.00014119706,0.0034549995,8.782737e-06,4.191961e-06,0.00012004433,2.5788318e-06,0.0021245622,6.438343e-05,0.0002971551,2.0226227e-07,0.00025350618,0.00025187762,0.0002867221,1.1446646e-05,0.00015784694,6.34622e-05,9.624079e-06,1.3224253e-05,3.6040547e-05,0.0026858365,4.8950395e-05,6.3093864e-08,8.357296e-06,0.00022359325,0.0006228623,4.3807522e-05,0.0006484704,5.1458002e-08,0.00055299443,7.3229676e-06,5.3800013e-05,1.0119073e-05,0.0011694027,0.005453001,0.008062102,0.0015284693,2.713949e-06,0.002196301,1.7487098e-06,8.337259e-08,6.9597063e-06,0.0010337724,9.7304055e-06,2.5032991e-06,6.334926e-08,8.1224745e-05,0.00036373362,3.0287642e-06,2.6594178e-05,0.0018642751,0.00038415217,1.4893511e-06,5.34733e-07,0.00046785496,9.0953347e-07,4.1730684e-07,6.7497417e-06,0.43555245,3.5019053e-05,0.06525992,1.4264137e-07
./fruit81_full_split\test\人参果\113.jpg,0,人参果,23,樱桃,5,山竹,20,梨,False,0.08746523,0.00041358653,0.0056644958,0.06121096,0.016720673,0.15345004,0.0012023061,0.005658012,0.00015875536,0.00087108265,0.00068503903,0.00014407496,5.387961e-06,0.00039781586,0.06009989,0.0015923429,0.0069972808,0.00053074624,3.640125e-06,2.2154967e-05,0.123829626,0.09808527,6.3118287e-06,0.19410495,0.0014044323,3.9191356e-05,0.000102332546,2.90803e-05,0.009332667,0.00010071712,0.00018513674,0.0004859197,0.051729564,0.000121959565,0.0060566985,0.0048768227,7.488845e-05,5.6761895e-05,0.001276395,0.005222097,0.006462848,0.0071094376,0.003938043,0.0003054209,0.0038093035,4.0810668e-05,1.4363129e-05,8.394254e-05,1.1437969e-05,6.455021e-05,0.0032669886,7.36795e-07,0.00017870209,0.00047539864,0.04367582,0.0005160659,0.0050811186,0.0011271465,0.00089560833,4.7741363e-05,0.00018306171,1.5309402e-05,5.703513e-06,7.555099e-05,0.00069390575,3.3781356e-07,9.255367e-06,8.449593e-05,0.0014769944,0.0030456937,0.0003800042,0.003610486,0.002645693,0.0005545885,0.00019053713,0.0023618224,0.002080192,0.00034477774,0.0027690767,9.376441e-06,0.0019433361
./fruit81_full_split\test\人参果\116.jpeg,0,人参果,0,人参果,12,枇杷,28,沙果,True,0.52331686,0.00010535541,0.0071530943,0.00027250173,1.277721e-05,0.0016535546,0.00914858,2.3241362e-05,0.026339004,0.0167092,1.3409365e-05,0.00087289326,0.13121518,0.00032783797,0.01714268,0.00015804413,0.0004706203,0.0004562927,2.9807059e-05,0.00046911114,0.0039911806,0.028554492,4.3135224e-05,8.6563705e-05,1.5395892e-05,0.0005736553,0.00071232393,8.972965e-06,0.08981843,6.3603426e-07,9.0689966e-05,0.0032052973,0.00012242439,4.3074055e-05,0.00082600693,0.0024837146,1.9679394e-06,0.00031819477,0.00094821904,0.005064362,0.0035186792,1.8616082e-07,0.02580847,2.3849934e-06,1.2964245e-05,9.4125187e-07,1.13850265e-05,9.895945e-08,0.0006641192,0.00017254401,0.0002504079,5.4637626e-06,0.00015090572,5.78358e-05,0.0038775338,1.0056088e-05,0.00015849572,0.00068615464,5.7551457e-05,1.1818656e-05,0.045257498,3.0862768e-05,1.3993703e-05,6.0616025e-05,0.00037209294,1.2662916e-05,0.0014448055,1.3382522e-07,6.1235056e-05,0.0020019903,0.0003620888,7.692647e-05,7.907901e-05,4.6023124e-05,5.6430345e-05,0.00018912183,0.0029291918,0.036441315,5.7397105e-05,0.0019934266,0.00025622224
./fruit81_full_split\test\人参果\118.jpg,0,人参果,0,人参果,70,西瓜,6,无花果,True,0.8084644,1.756947e-06,7.3815936e-05,2.487384e-07,1.3885066e-08,5.5164473e-06,0.016841691,0.002812507,8.8156834e-05,4.2102215e-06,1.08687104e-07,1.1499347e-07,1.1469164e-05,3.2645512e-05,2.4111174e-07,2.6308012e-07,2.5300062e-06,1.17079935e-05,1.6464382e-08,8.036226e-06,8.393287e-09,0.00037538362,2.8213196e-10,2.980791e-08,1.2272879e-07,1.0664321e-08,7.936399e-08,7.694438e-08,5.805107e-07,1.0460668e-08,4.4783715e-07,5.327949e-07,4.2557772e-08,1.371211e-07,8.755725e-05,2.8880504e-05,0.009471722,0.0073884157,2.2430456e-06,9.082793e-08,3.3229005e-06,5.2596234e-09,4.168018e-06,9.133146e-06,1.0185871e-06,9.063233e-09,2.0832063e-07,4.134872e-10,1.9716555e-07,7.752228e-08,0.0007231366,3.2631856e-08,5.850837e-09,1.6197089e-06,8.963746e-05,2.6986498e-07,2.6642098e-07,6.2598393e-09,2.0932094e-07,3.9762388e-05,1.904221e-05,1.5395533e-07,7.478612e-09,1.3363017e-09,1.4410798e-06,2.7168576e-07,3.3708634e-08,6.262702e-10,4.476759e-10,7.1283034e-06,0.15328614,1.6962339e-07,2.681905e-08,1.1253418e-08,1.9684322e-08,5.4298194e-10,4.9660245e-09,4.7438323e-05,5.9894805e-06,1.6500095e-06,4.148391e-05
./fruit81_full_split\test\人参果\122.jpg,0,人参果,15,柠檬,52,脐橙,34,甜瓜-伊丽莎白,False,0.042363923,4.243262e-08,0.011306056,0.00015447412,2.1781381e-05,1.5063849e-08,1.0877352e-06,0.00036603553,1.7749426e-05,0.006599831,1.2566043e-05,1.6538304e-05,7.451417e-05,1.7518305e-06,0.038426388,0.53334814,1.9601916e-06,1.014418e-05,0.00014932035,8.902602e-07,0.00038370787,5.31235e-06,0.00018380296,0.00018502366,0.041146792,2.0698911e-08,0.0004257259,0.008125242,6.114551e-05,7.4426775e-06,0.0004065204,3.2187112e-05,1.601441e-05,0.0025164164,0.079964675,0.0006290498,8.288421e-06,0.0016758592,0.0001689504,6.0776572e-05,0.0027470228,4.4172228e-07,4.561878e-06,0.00017952034,3.2302304e-07,0.00019521538,0.0032628481,6.6991606e-06,0.00079452526,3.43048e-06,0.00021159484,0.00079020666,0.17514488,6.889591e-06,0.0036972438,0.00984717,5.5060564e-06,1.7951724e-06,3.693971e-07,0.0034623768,1.9569358e-08,5.147107e-05,0.00023915952,3.238954e-07,1.4963473e-07,1.98044e-06,8.861186e-06,2.814868e-05,0.0016623236,1.4945967e-06,0.0017328624,0.0062033418,4.4563745e-07,1.01350615e-05,0.008558039,0.00012218463,0.00035592617,0.00024322177,0.00020050799,0.01134042,2.7499948e-07
./fruit81_full_split\test\人参果\123.jpg,0,人参果,0,人参果,59,菠萝,37,甜瓜-金,True,0.63816786,6.970522e-08,0.0006466439,5.449721e-07,4.779872e-06,4.7571343e-06,1.2268548e-05,0.00075592985,8.9549525e-05,0.0008751571,3.8137423e-05,1.9792756e-07,0.0005469113,0.0001231137,0.0002768769,0.0020946928,0.00073626556,4.768171e-06,2.0905666e-06,5.784324e-08,0.00037892692,0.021587621,1.5300784e-05,6.8952296e-08,0.00020257733,6.547447e-07,1.07375975e-07,1.0102424e-05,4.3938293e-05,1.4392857e-06,7.005464e-06,5.9006237e-05,0.0006511851,3.1610885e-05,0.008256242,6.859007e-06,7.813435e-05,0.02477288,3.6545766e-06,4.1498e-06,2.4198958e-05,1.285211e-06,1.5782682e-06,8.5592204e-05,3.7479833e-05,1.865703e-06,1.159993e-05,3.631824e-07,0.00037848056,2.6781448e-08,9.118084e-05,1.4573179e-05,9.353003e-06,7.798207e-06,0.0010000118,0.00032943164,3.688727e-06,2.1671406e-08,2.2095549e-08,0.28393772,5.311121e-07,6.749073e-05,6.4101535e-08,5.025019e-08,3.173468e-06,5.3190183e-07,9.431351e-06,2.9543364e-07,1.2052573e-06,4.7639107e-05,0.0018717973,1.1439585e-06,1.4030407e-08,4.2742304e-08,0.00015367212,3.5486694e-06,4.1859093e-05,0.0036983911,0.0075283987,0.00012661175,1.5627182e-05
./fruit81_full_split\test\人参果\127.jpg,0,人参果,0,人参果,21,椰子,13,枣,True,0.995767,8.9454943e-07,9.327387e-06,1.082713e-07,1.7596463e-08,0.00027044685,7.827171e-07,2.696375e-07,2.6989978e-06,1.6738412e-08,3.3229741e-09,2.2057147e-08,3.3823234e-08,0.0003100951,3.6839123e-05,3.1294428e-07,8.1907303e-10,2.1861549e-08,5.3760227e-09,1.7537484e-07,2.0298014e-06,0.002919144,4.975974e-09,2.1776683e-09,6.656036e-09,3.9541252e-08,1.4921503e-07,1.8352291e-09,1.3936052e-07,1.5872876e-11,1.578168e-07,9.77243e-05,5.144979e-08,8.027534e-09,9.1735825e-07,0.00022174776,4.928179e-06,8.726322e-05,4.2571097e-05,2.1902733e-07,7.546574e-05,1.3358345e-08,6.0662544e-05,1.4395082e-06,1.6799776e-06,1.125269e-09,8.154758e-09,5.517214e-10,7.224746e-08,3.5475578e-09,1.3071612e-07,2.0517388e-10,1.0189991e-09,8.2857793e-10,3.7243595e-07,2.1329768e-08,3.4910664e-07,3.3176595e-06,1.06885e-06,9.246643e-07,1.465636e-05,1.9605715e-09,1.8975467e-08,1.2159077e-09,1.4485164e-07,3.785964e-08,8.992401e-09,3.6814288e-11,1.3815152e-08,2.8575366e-06,4.9227798e-05,2.5150484e-07,2.3446538e-07,4.775158e-11,2.7844673e-09,6.92528e-08,4.7552835e-06,5.8814294e-06,1.6908649e-07,1.0772947e-08,1.6173414e-07
